id,issue_id,filename,filesize,disk_filename,content_type,created_on,description,login,name
79,295,dave_taht.vcf,205,111108034937_dave_taht.vcf,text/x-vcard,2011-11-08 03:49:37.043866,,davetaht,David Taht
80,300,wpad.dat,289,111119095330_wpad.dat,application/x-ns-proxy-autoconfig,2011-11-19 09:53:30.798477,"",wuzuu,Petri Rosenström
81,312,dave_taht.vcf,214,111128044001_dave_taht.vcf,text/x-vcard,2011-11-28 04:40:01.246537,,davetaht,David Taht
82,312,70ms.png,476953,111128050738_70ms.png,image/png,2011-11-28 05:07:38.190975,"",dtaht,Dave Täht
83,324,powertop.png,54228,111219183412_powertop.png,image/png,2011-12-19 18:34:12.510308,Powertop,hechacker1,Hector Ordorica
84,328,999-3.1-sched-bfs-415.patch,232260,120116164042_999-3.1-sched-bfs-415.patch,application/octet-stream,2012-01-16 16:40:42.385594,"",hechacker1,Hector Ordorica
86,310,ag71xx_main.c,28858,120128093143_ag71xx_main.c,text/x-csrc,2012-01-28 09:31:43.847902,"",dtaht,Dave Täht
87,310,yetanotherbadbql.patch,1918,120128093143_yetanotherbadbql.patch,text/x-patch,2012-01-28 09:31:43.861844,"",dtaht,Dave Täht
88,334,CeroWrt-libiwinfo-required.png,25373,120204111312_CeroWrt-libiwinfo-required.png,image/png,2012-02-04 11:13:12.416228,"",richb-hanover,Rich Brown
89,338,simple_bug,3046,120211201702_simple_bug,application/octet-stream,2012-02-11 20:17:02.037181,"",dtaht,Dave Täht
94,345,CeroWrt_Traffic_Rules_500_error.png,44873,120316185347_CeroWrt_Traffic_Rules_500_error.png,image/png,2012-03-16 18:53:47.219814,"",richb-hanover,Rich Brown
105,282,build_cero.diff,716,120326071523_build_cero.diff,text/x-patch,2012-03-26 07:15:23.49601,"",ketkulka,Ketan Kulkarni
106,282,cero_config.diff,108,120326071523_cero_config.diff,text/x-patch,2012-03-26 07:15:23.530065,"",ketkulka,Ketan Kulkarni
107,282,instruction.diff,414,120326071523_instruction.diff,text/x-patch,2012-03-26 07:15:23.537709,"",ketkulka,Ketan Kulkarni
108,345,Cerowrt_500err_traf_rules.png,31264,120408082501_Cerowrt_500err_traf_rules.png,image/png,2012-04-08 08:25:01.226035,"",luckman212,Luke H
109,345,firewall,1908,120408171433_firewall,application/octet-stream,2012-04-08 17:14:34.135993,"",dtaht,Dave Täht
110,360,oprof_raw.txt,97561,120411065313_oprof_raw.txt,text/plain,2012-04-11 06:53:13.932003,"",ketkulka,Ketan Kulkarni
111,360,dmesg.logs,172465,120411065313_dmesg.logs,application/octet-stream,2012-04-11 06:53:13.954029,"",ketkulka,Ketan Kulkarni
112,360,ip6_mc_input-copy_dest_addr.patch,742,120411151907_ip6_mc_input-copy_dest_addr.patch,text/x-patch,2012-04-11 15:19:07.219591,Patch to copy destination address in ipv6_chk_mcast_addr before calling helper functions.,rbradley,Robert Bradley
113,360,in6_addr_packed.patch,454,120411151907_in6_addr_packed.patch,text/x-patch,2012-04-11 15:19:07.235225,Mark in6_addr as packed,rbradley,Robert Bradley
116,360,skb_cb_packed.patch,676,120413062735_skb_cb_packed.patch,text/x-patch,2012-04-13 06:27:35.636164,Pack tcp_skb_cb and udp_skb_cb,rbradley,Robert Bradley
117,360,0005-try-to-use-unaligned-in-core-functions.patch,1860,120414105311_0005-try-to-use-unaligned-in-core-functions.patch,text/x-diff,2012-04-14 10:53:11.19779,"",dtaht,Dave Täht
118,360,ipv6_checksum_noasm.patch,1957,120415045431_ipv6_checksum_noasm.patch,text/x-patch,2012-04-15 04:54:31.328972,Patch that disables ipv6 checksumming via asm,rbradley,Robert Bradley
124,360,ipv6_checksum_unaligned_asm_markclobbered2.patch,3981,120415124615_ipv6_checksum_unaligned_asm_markclobbered2.patch,text/x-patch,2012-04-15 12:46:15.212708,"Patch that does ipv6 checksumming via asm, no clobber (2)",rbradley,Robert Bradley
125,360,declare_function_const.patch,1065,120415130935_declare_function_const.patch,text/x-diff,2012-04-15 13:09:35.106844,"",dtaht,Dave Täht
126,360,brain_wraps_around_on_endian.patch,781,120415135826_brain_wraps_around_on_endian.patch,text/x-diff,2012-04-15 13:58:26.70238,"",dtaht,Dave Täht
127,360,igmp_tcp_alignment.patch,1648,120415174638_igmp_tcp_alignment.patch,text/x-patch,2012-04-15 17:46:38.019531,"igmp* packed, tcp_parse_aligned_timestamp handles unaligned timestamps",rbradley,Robert Bradley
128,360,asm.patch,3985,120416101922_asm.patch,text/x-patch,2012-04-16 10:19:22.642738,"Cleaned up asm checksumming patch (for reference) - assembles now, but not trusted or really necessary.",rbradley,Robert Bradley
129,360,ip6_route_input.patch,2084,120418045336_ip6_route_input.patch,text/x-patch,2012-04-18 04:53:36.662566,Unaligned access patches to ip6_route_input and __ipv6_addr_type,rbradley,Robert Bradley
130,360,ipv6_monster_patch.patch,5481,120418060530_ipv6_monster_patch.patch,text/x-patch,2012-04-18 06:05:30.698128,Monster ipv6 patch replacing virtually every *(__be32 *) instance with __get_unaligned_cpu32(),rbradley,Robert Bradley
131,360,923-test-of-major-fixes.patch,15435,120418133321_923-test-of-major-fixes.patch,text/x-diff,2012-04-18 13:33:21.511603,"",dtaht,Dave Täht
132,360,skb_flow_dissect.patch,1769,120418164546_skb_flow_dissect.patch,text/x-patch,2012-04-18 16:45:46.838004,Mark vlan_hdr as packed and patch skb_flow_dissect() for unaligned access,rbradley,Robert Bradley
133,360,923-comprehensive-tcp-udp-ipv6-ipv4-alignment-fixes.patch,17997,120421010602_923-comprehensive-tcp-udp-ipv6-ipv4-alignment-fixes.patch,text/x-diff,2012-04-21 01:06:02.225561,"",dtaht,Dave Täht
134,371,ipv6_prefix_equal.patch,1317,120421101610_ipv6_prefix_equal.patch,text/x-patch,2012-04-21 10:16:10.691508,Unaligned access patches: ipv6_prefix_equal and addr_bit_set,rbradley,Robert Bradley
135,371,ipv6_neigh_lookup.patch,1336,120423074124_ipv6_neigh_lookup.patch,text/x-patch,2012-04-23 07:41:24.159335,Fix unaligned access for __ipv6_neigh_lookup,rbradley,Robert Bradley
136,362,minissdp_miniupnpd_cero.txt,1164,120427121354_minissdp_miniupnpd_cero.txt,text/plain,2012-04-27 12:13:54.49755,"",solt,Maciej Soltysiak
137,379,nf_nat_conntrack_tcp.patch,1091,120501070840_nf_nat_conntrack_tcp.patch,text/x-patch,2012-05-01 07:08:40.343096,Unaligned access fixes for nf_conntrack_proto_tcp and ipv4/nf_nat_proto_tcp,rbradley,Robert Bradley
138,385,ip6_frag_init.patch,452,120510091144_ip6_frag_init.patch,text/x-patch,2012-05-10 09:11:44.660708,ip6_frag_init: use memcpy rather than assignment,rbradley,Robert Bradley
139,385,ip6_frag_init.patch,639,120510133327_ip6_frag_init.patch,text/x-patch,2012-05-10 13:33:27.24385,Updated ip6_frag_init.patch,rbradley,Robert Bradley
140,386,cls_u32.patch,968,120510142911_cls_u32.patch,text/x-patch,2012-05-10 14:29:11.708182,Unaligned access patch for cls_u32.c,rbradley,Robert Bradley
141,339,diff,1163,120522204832_diff,application/octet-stream,2012-05-22 20:48:32.943581,"patch for /lib/network/6to4.sh to fix configuration when lan interface isn't called ""lan""",lordsutch,Chris Lawrence
142,392,babeld.conf,1799,120524165712_babeld.conf,application/octet-stream,2012-05-24 16:57:12.968348,cerowrt 3.3.2-6 babeld.conf,moeller0,Sebastian Moeller
143,392,babeld.log,264064,120524165712_babeld.log,application/octet-stream,2012-05-24 16:57:12.985446,"log for around one day of uptime, mesh routing not used",moeller0,Sebastian Moeller
144,379,0001-ath9k-add-memory-barriers-to-ath9k_ioread32-and-ath9.patch,2093,120806120030_0001-ath9k-add-memory-barriers-to-ath9k_ioread32-and-ath9.patch,text/x-patch,2012-08-06 12:00:30.805677,Test patch for adding memory barriers to ath9k (base=v3.3.8),rbradley,Robert Bradley
145,406,badlist.png,116801,120810203254_badlist.png,image/png,2012-08-10 20:32:54.237973,"",dtaht,Dave Täht
146,413,dhcpv6.cap,31588,121026073724_dhcpv6.cap,application/vnd.tcpdump.pcap,2012-10-26 07:37:24.613815,"",davetaht,David Taht
150,418,lo_capture.txt,1944,130104190215_lo_capture.txt,text/plain,2013-01-04 19:02:15.265891,"",davetaht,David Taht
151,418,tfo_to_x86_64_web.cap,211608,130104192134_tfo_to_x86_64_web.cap,application/vnd.tcpdump.pcap,2013-01-04 19:21:34.339867,httping -G -F http://172.26.3.4/~d/rrul/vyatta-fq_codel_bql32k.svg,davetaht,David Taht
152,418,tfo_to_x86_64_web_via_proxy.cap,157040,130104192134_tfo_to_x86_64_web_via_proxy.cap,application/vnd.tcpdump.pcap,2013-01-04 19:21:34.369079,httping -x 172.26.3.4:8123 -G -F http://172.26.3.4/~d/rrul/vyatta-fq_codel_bql32k.svg,davetaht,David Taht
153,418,tfo_to_x86_64_web_via_proxy_tfo_enabled.cap,136515,130104192134_tfo_to_x86_64_web_via_proxy_tfo_enabled.cap,application/vnd.tcpdump.pcap,2013-01-04 19:21:34.379134,httping -x 172.26.3.4:8123 -G -F http://172.26.3.4/~d/rrul/vyatta-fq_codel_bql32k.svg,davetaht,David Taht
154,418,vyatta-fq_codel_bql32k.svg.gz,40875,130104192134_vyatta-fq_codel_bql32k.svg.gz,application/x-gzip,2013-01-04 19:21:34.387899,"",davetaht,David Taht
155,418,tfo_to_x86_64_web_via_proxy_tfo_enabled_nomiddleboxrules.cap,125638,130104200303_tfo_to_x86_64_web_via_proxy_tfo_enabled_nomiddleboxrules.cap,application/vnd.tcpdump.pcap,2013-01-04 20:03:03.31824,"",davetaht,David Taht
159,418,tfo_crash_fixed.patch,533,130114012656_tfo_crash_fixed.patch,text/x-patch,2013-01-14 01:26:56.682748,This patch by Eric D should fix the crash,ketkulka,Ketan Kulkarni
160,419,cablelabs_via_cerowrt_qos_16_32.svg,138282,130116134349_cablelabs_via_cerowrt_qos_16_32.svg,image/svg+xml,2013-01-16 13:43:49.224828,,davetaht,David Taht
161,419,addrconf_prefix_rcv_trap.patch,662,130116163008_addrconf_prefix_rcv_trap.patch,text/x-patch,2013-01-16 16:30:08.782537,Initial patch attempt,rbradley,Robert Bradley
162,421,tcp_v6_syn_recv_sock.patch,1525,130117054118_tcp_v6_syn_recv_sock.patch,text/x-patch,2013-01-17 05:41:18.267541,Initial patch attempt (__ipv6_neigh_lookup+xfrm_state_lookup+tcp_v6_syn_recv_sock),rbradley,Robert Bradley
163,421,tcp_v6_syn_recv_sock_v2.patch,3427,130118054840_tcp_v6_syn_recv_sock_v2.patch,application/octet-stream,2013-01-18 05:48:40.760034,v2 patch (cumulative),rbradley,Robert Bradley
164,419,fib6.patch,474,130119010441_fib6.patch,application/octet-stream,2013-01-19 01:04:41.488539,Patch for fib6_locate,rbradley,Robert Bradley
171,430,apenwarr.ca_timing_-_primary_router.png,82739,130430193517_apenwarr.ca_timing_-_primary_router.png,image/png,2013-04-30 19:35:17.34976,"",richb-hanover,Rich Brown
172,430,apenwarr.ca_timing_-_CeroWrt5.png,102093,130430193517_apenwarr.ca_timing_-_CeroWrt5.png,image/png,2013-04-30 19:35:17.438439,"",richb-hanover,Rich Brown
174,436,armory3.cap,2718645,131122194402_armory3.cap,application/cap,2013-11-22 19:44:02.296935,"",dtaht,Dave Täht
175,436,boom.txt,401,131122194402_boom.txt,text/plain,2013-11-22 19:44:02.341955,"",dtaht,Dave Täht
176,436,strace.log,645432,131122194402_strace.log,text/x-log,2013-11-22 19:44:02.357939,"",dtaht,Dave Täht
177,436,wtf.log,16119,131122194402_wtf.log,text/x-log,2013-11-22 19:44:02.366398,"",dtaht,Dave Täht
178,436,wtf.dmesg,16832,131122194402_wtf.dmesg,application/octet-stream,2013-11-22 19:44:02.375194,"",dtaht,Dave Täht
179,436,ge00.log,1258,131122194402_ge00.log,text/x-log,2013-11-22 19:44:02.383665,"",dtaht,Dave Täht
180,436,ge00_class.log,3946,131122194402_ge00_class.log,text/x-log,2013-11-22 19:44:02.392179,"",dtaht,Dave Täht
181,436,ifb0.log,1087,131122194402_ifb0.log,text/x-log,2013-11-22 19:44:02.400541,"",dtaht,Dave Täht
182,436,ifb0_class.log,2419,131122194402_ifb0_class.log,text/x-log,2013-11-22 19:44:02.409061,"",dtaht,Dave Täht
183,436,odhcp6c_from_hell.png,150237,131122194402_odhcp6c_from_hell.png,image/png,2013-11-22 19:44:02.419032,"screenshot of odhcp6c running away, eating nearly all of cpu",dtaht,Dave Täht
184,437,firstboot.dmesg,14907,131215150034_firstboot.dmesg,application/octet-stream,2013-12-15 15:00:34.189458,,davetaht,David Taht
185,437,firstboot.log,18476,131215150034_firstboot.log,text/x-log,2013-12-15 15:00:34.28011,,davetaht,David Taht
186,437,secondboot.dmesg,15181,131215150034_secondboot.dmesg,application/octet-stream,2013-12-15 15:00:34.296738,,davetaht,David Taht
187,437,secondboot.ifconfigs,4170,131215150034_secondboot.ifconfigs,application/octet-stream,2013-12-15 15:00:34.312917,,davetaht,David Taht
188,437,secondboot.log,18373,131215150034_secondboot.log,text/x-log,2013-12-15 15:00:34.32951,,davetaht,David Taht
189,437,mac80211.sh,3776,131215215449_mac80211.sh,application/x-shellscript,2013-12-15 21:54:49.364013,"",dtaht,Dave Täht
193,360,172.26.3.1.rrul-ethernet.svg,145469,131222132424_172.26.3.1.rrul-ethernet.svg,image/svg+xml,2013-12-22 13:24:24.987102,,davetaht,David Taht
203,438,link_local.cap,420341,140118065419_link_local.cap,application/vnd.tcpdump.pcap,2014-01-18 06:54:20.016347,"",dtaht,Dave Täht
204,439,wifi_grump.txt,39772,140121032615_wifi_grump.txt,text/plain,2014-01-21 03:26:15.343877,,davetaht,David Taht
215,442,wlan1-w-local.cap,11971,140514110314_wlan1-w-local.cap,application/vnd.tcpdump.pcap,2014-05-14 11:03:14.011183,"",dtaht,Dave Täht
216,442,local2.cap,12276,140514110314_local2.cap,application/vnd.tcpdump.pcap,2014-05-14 11:03:14.047339,"",dtaht,Dave Täht
217,443,dhclient6.eth0.leases,1941,140529155507_dhclient6.eth0.leases,application/octet-stream,2014-05-29 15:55:07.115507,"",dtaht,Dave Täht
219,442,signature.asc,497,140816200935_signature.asc,application/pgp-signature,2014-08-16 20:09:35.03748,,richb-hanover,Rich Brown
220,448,logread.txt,18103,140912131353_logread.txt,text/plain,2014-09-12 13:13:53.976398,Output of logread,jg,Jim Gettys
221,448,dmesg.txt,123060,140912131354_dmesg.txt,text/plain,2014-09-12 13:13:54.072018,Output of dmesg,jg,Jim Gettys
