id,project,subject,description,author,created_on,updated_on,assignee,status,priority
326,cerowrt,Fwd: [PATCH net-next] sch_sfq: rehash queues in perturb timer,"Eric, I think I love you.

I'd like to slam this into cerowrt, which is based on 3.1.5 for at
least another month. Are there dependencies on the other work you've
been doing in this area I should worry about?


---------- Forwarded message ----------
From: Eric Dumazet <eric.dumazet@gmail.com>
Date: Wed, Dec 21, 2011 at 2:30 PM
Subject: [PATCH net-next] sch_sfq: rehash queues in perturb timer
To: David Miller <davem@davemloft.net>
Cc: netdev <netdev@vger.kernel.org>


A known Out Of Order (OOO) problem hurts SFQ when timer changes
perturbation value, since all new packets delivered to SFQ enqueue might
end on different slots than previous in-flight packets.

With round robin delivery, we can thus deliver packets in a different
order.

Since SFQ is limited to small amount of in-flight packets, we can rehash
packets so that this OOO problem is fixed.

This rehashing is performed only if internal flow classifier is in use.

We now store in skb->cb[] the ""struct flow_keys"" so that we dont call
skb_flow_dissect() again while rehashing.

Signed-off-by: Eric Dumazet <eric.dumazet@gmail.com>
---
 net/sched/sch_sfq.c |   87 +++++++++++++++++++++++++++++++++++++++---
 1 file changed, 81 insertions(+), 6 deletions(-)

diff --git a/net/sched/sch_sfq.c b/net/sched/sch_sfq.c
index 30cda70..d329a8a 100644
--- a/net/sched/sch_sfq.c
+++ b/net/sched/sch_sfq.c
@@ -136,16 +136,30 @@ static inline struct sfq_head
*sfq_dep_head(struct sfq_sched_data *q, sfq_index
       return &q->dep[val - SFQ_SLOTS];
 }

+/*
+ * In order to be able to quickly rehash our queue when timer changes
+ * q->perturbation, we store flow_keys in skb->cb[]
+ */
+struct sfq_skb_cb {
+       struct flow_keys        keys;
+};
+
+static inline struct sfq_skb_cb *sfq_skb_cb(const struct sk_buff *skb)
+{
+       BUILD_BUG_ON(sizeof(skb->cb) <
+               sizeof(struct qdisc_skb_cb) + sizeof(struct sfq_skb_cb));
+       return (struct sfq_skb_cb *)qdisc_skb_cb(skb)->data;
+}
+
 static unsigned int sfq_hash(const struct sfq_sched_data *q,
                            const struct sk_buff *skb)
 {
-       struct flow_keys keys;
+       const struct flow_keys *keys = &sfq_skb_cb(skb)->keys;
       unsigned int hash;

-       skb_flow_dissect(skb, &keys);
-       hash = jhash_3words((__force u32)keys.dst,
-                           (__force u32)keys.src ^ keys.ip_proto,
-                           (__force u32)keys.ports, q->perturbation);
+       hash = jhash_3words((__force u32)keys->dst,
+                           (__force u32)keys->src ^ keys->ip_proto,
+                           (__force u32)keys->ports, q->perturbation);
       return hash & (q->divisor - 1);
 }

@@ -161,8 +175,10 @@ static unsigned int sfq_classify(struct sk_buff
*skb, struct Qdisc *sch,
           TC_H_MIN(skb->priority) <= q->divisor)
               return TC_H_MIN(skb->priority);

-       if (!q->filter_list)
+       if (!q->filter_list) {
+               skb_flow_dissect(skb, &sfq_skb_cb(skb)->keys);
               return sfq_hash(q, skb) + 1;
+       }

       *qerr = NET_XMIT_SUCCESS | __NET_XMIT_BYPASS;
       result = tc_classify(skb, q->filter_list, &res);
@@ -423,12 +439,71 @@ sfq_reset(struct Qdisc *sch)
               kfree_skb(skb);
 }

+/*
+ * When q->perturbation is changed, we rehash all queued skbs
+ * to avoid OOO (Out Of Order) effects.
+ * We dont use sfq_dequeue()/sfq_enqueue() because we dont want to change
+ * counters.
+ */
+static void sfq_rehash(struct sfq_sched_data *q)
+{
+       struct sk_buff *skb;
+       int i;
+       struct sfq_slot *slot;
+       struct sk_buff_head list;
+
+       __skb_queue_head_init(&list);
+
+       for (i = 0; i < SFQ_SLOTS; i++) {
+               slot = &q->slots[i];
+               if (!slot->qlen)
+                       continue;
+               while (slot->qlen) {
+                       skb = slot_dequeue_head(slot);
+                       sfq_dec(q, i);
+                       __skb_queue_tail(&list, skb);
+               }
+               q->ht[slot->hash] = SFQ_EMPTY_SLOT;
+       }
+       q->tail = NULL;
+
+       while ((skb = __skb_dequeue(&list)) != NULL) {
+               unsigned int hash = sfq_hash(q, skb);
+               sfq_index x = q->ht[hash];
+
+               slot = &q->slots[x];
+               if (x == SFQ_EMPTY_SLOT) {
+                       x = q->dep[0].next; /* get a free slot */
+                       q->ht[hash] = x;
+                       slot = &q->slots[x];
+                       slot->hash = hash;
+               }
+               slot_queue_add(slot, skb);
+               sfq_inc(q, x);
+               if (slot->qlen == 1) {          /* The flow is new */
+                       if (q->tail == NULL) {  /* It is the first flow */
+                               slot->next = x;
+                       } else {
+                               slot->next = q->tail->next;
+                               q->tail->next = x;
+                       }
+                       q->tail = slot;
+                       slot->allot = q->scaled_quantum;
+               }
+       }
+}
+
 static void sfq_perturbation(unsigned long arg)
 {
       struct Qdisc *sch = (struct Qdisc *)arg;
       struct sfq_sched_data *q = qdisc_priv(sch);
+       spinlock_t *root_lock = qdisc_lock(qdisc_root_sleeping(sch));

+       spin_lock(root_lock);
       q->perturbation = net_random();
+       if (!q->filter_list && q->tail)
+               sfq_rehash(q);
+       spin_unlock(root_lock);

       if (q->perturb_period)
               mod_timer(&q->perturb_timer, jiffies + q->perturb_period);",David Taht,2011-12-21 20:02:28.859065,2012-04-21 12:37:44.271846,Dave Täht,Closed,Normal
31,sysadmin,THANKS FOR THE BETA TESTING!!,"And thanks for checking in! I'm so completely buried right now I can
hardly see my way clear out of it, so by all means, beat on the site...

Originally I was going to be expanding the [[bloat:outline]] on the wiki
today...

Let me know via the sysadmin tracker whatever problems you find. Or
check in on irc on chat.freenode.net #bufferbloat.

(This email is also a test to see if I CAN actually open an issue via email)",Dave Täht,2011-01-27 10:35:30.558944,2011-03-19 11:50:23.972734,Dave Täht,In Progress,High
16,sysadmin,migrate my tasks from org to redmine,"* TODO lists.bufferbloat.net
** DONE don't do a cname
** DONE Must have a real IP address 
** DONE Need mx records
** DONE nag about reverse DNS
** DEFR nolisting
** Email
*** TODO Mailman
**** DONE Basic mailman (web/https)
**** DONE need redirect for bare https: url
**** DONE Test email exchanges through the backup mx
**** DONE Add more mailing lists
     CLOSED: [2011-01-21 Fri 15:39]
     :LOGBOOK:
     - State ""DONE""       from ""STARTED""    [2011-01-21 Fri 15:39]
     - State ""STARTED""    from ""STARTED""    [2011-01-21 Fri 11:12]
     CLOCK: [2011-01-21 Fri 11:12]--[2011-01-21 Fri 15:38] =>  4:26
     :END:
     added theory, bloat-announce, bloat-devel
**** TODO test exchanges through exim mailers
**** TODO html filtering working?
**** DEFR CAPCHA - require approval to enter the list(s)
*** WAIT SSL CERT 							 :JG:
    SCHEDULED: <2011-01-17 Mon>
*** DONE REVERSE LOOKUP 						:ISC:
*** DONE DNS RBLS
*** DONE procmail NOT dovecot
*** TODO Search engine
    xapian preferred. Google custom maybe.
*** TODO Customize with puzzle pieces :JG:
*** TODO Gmane gateway
    gmane.bufferbloat.users
    gmane.bufferbloat.devel
    gmane.bufferbloat.announce

** TODO Schedules
*** Hard disk test at 3AM
*** Backups at 1AM
*** Cron locate at 2AM
*** Monthly faq to bloat-announce
** TODO Backups
   where? Gettys.net seems like a good idea. Rsync.net possibly
*** DB backup
*** rsync backup
*** Toutatis backup
* Global Tasks
** DONE Enable NTP
*** DONE ask isc for theirs
** snmpd
*** DONE Configure proc monitoring
*** TODO Allow Access
*** TODO Configure users
*** TODO Configure mibs
** Smartd
*** DONE apt-get install snmpd smartmontools
*** DONE configure to monitor - sending to hwmon@lists.bufferbloat.net
*** DONE Self tests - look good
** Hardware monitoring
*** Fan/cpu temp
** Web server log analysis
*** Analyzer?
** System log analysis?
*** TODO Why is the nightly update dumping core?
** Bandwidth analysis - mrtg? Cacti? What?
   :DEPENDS: snmp
** Nagios
*** DONE Get nagios server installed 
*** TODO Nagios clients
*** TODO Configure 
** Valid Url checker/report
** Feedvalidator
** International support
   Spanish translations of core documents, etc
** Apache tuning
*** Rate limit according to the CPU 
** WAIT etckeeper
   :DEPENDS: backups
** Local DNS
*** DONE siwa (cache only)
*** DONE shipka (cache only)
    CLOSED: [2011-01-20 Thu 11:54]
    :LOGBOOK:
    - State ""DONE""       from ""STARTED""    [2011-01-20 Thu 11:54]
    - State ""STARTED""    from ""STARTED""    [2011-01-20 Thu 11:53]
    CLOCK: [2011-01-20 Thu 11:53]--[2011-01-20 Thu 11:54] =>  0:01
    :END:
** Dogfood
*** DONE Turn on ECN/sack/dsack
    /etc/sysctl.d/60-bufferbloat.conf
*** DONE Reduce txqueuelen to 64
*** TODO Check into DMA tx queues on these servers
*** TODO SFB for outgoing packets?
** Firewall rules
*** TODO Allow 222, 443, 80, 81, tcp/udp 53, tcp/udp > 1024, git (9418), rsync
    enable ufw
*** TODO Allow NTP
*** TODO Have a syn rate limiter handy
**** Range of 30-300 connects/sec on 443?
*** DONE Have some sort of temporary open for outgoing
*** DONE Whitelist 567, 25 for dyndns, shipka. 
*** TODO prioritize port 222 traffic for interactive
*** TODO Leave postgres port open for certain ips
*** DONE Fiddle with txqueuelen
*** TODO whitelist snmpd (161) for monitor hosts
*** TODO load module with ip_list_tot=2000
*** TODO fully test dynamic opening of port 25
*** TODO Integrate firewall and shaping script(s)
*** TODO NMAP scan
*** TODO System updates
*** TODO Reboots
* TODO Redmine
** DONE Redmine 1.1 branched from git
*** DONE Need to migrate anyway to pg
- first, install redmine in a fresh postgre database
- then copy the rows from every table from the mysql database to the postgresql, truncating the postgresql tables first.
- select max(id) from MyTable; => max(id) + 1 (MaxIdPlusOne) => use that number in an ALTER SEQUENCE MyTable_id_seq RESTART with MaxIdPlusOne; That for every table with a sequence.
*** http://www.redmine.org/projects/redmine/wiki/RedmineInstall
*** Think hard about planning to scale
**** Web server/http server separation
**** EC2
**** DB/web server separation
***** WAIT Postgres 9.0?
      Too hard right now... Wait for official support
      Maybe install on sima

*** TODO Kill whatever is using mysql
*** DONE kill apache-prefork in favor of apache-mpm wherever possible
*** DONE Add favicon - added seems not to be vectored through this
*** TEST Redirect javascripts, images, css, files(?) so they can be handled by apache directly
*** CNCL etags
    too many hassles with multiple front ends, just supply cache for now
*** DONE Add mathjax support - works https://shipka.bufferbloat.net/MathJax/test/
*** DONE Add mathjax support to wiki headers
    I'm a little dubious about the change in the regexp. Asked eric for advice.
*** DONE openid support
*** TEST RMagick 
*** DONE Import old files
*** CNCL Import old data
*** TODO Email integration
*** TODO Backups
*** TODO Block access to certain stuff via robots.txt
*** TODO GET Content
**** Mysql dump from wordpress
**** Email logs
** UNKN RequestHeader set X_FORWARDED_PROTO 'https' in apache??
** DONE Ignore MX records for emails to [lists.bufferbloat.net]
*** CNCL transport_map for submit port
*** DONE Smarthost
** DONE Get apache configured for fcgi
   CLOSED: [2011-01-19 Wed 23:20]
   :LOGBOOK:
   - State ""DONE""       from ""STARTED""    [2011-01-19 Wed 23:20]
   - State ""STARTED""    from ""STARTED""    [2011-01-19 Wed 21:11]
   CLOCK: [2011-01-19 Wed 21:11]--[2011-01-19 Wed 23:20] =>  2:09
   :END:
   :PROPERTIES:
   :Effort:   1:00
   :END:
** DONE Expires headers
** DONE CSS or textile fix for images
*** DONE CSS fix 100% width
*** DEFR Rumors have it that using textile's scaling is subject to XSS attacks
** TODO Keep 4 ruby processes handy
   Must have misconfigured, I end up with 0 after being idle
** GRMP Attachments/images go through redmine rather than sanely through apache
   Maybe put some stuff in ~user dirs
*** TODO Fix existing attachments
 * WANT Glossary tag(s)
** CNCL etags - not needed 
** RTRY Yslow
** TODO github integration
   http://www.redmine.org/projects/redmine/wiki/HowTo_keep_in_sync_your_git_repository_for_redmine
** Email <-> forum gateway??
   Meh: http://www.redmine.org/issues/1616
** Plugins
*** Flot?
*** TEST Youtube
*** Mathjax support
   http://blog.felixbreuer.net/2010/03/19/writing-math.html
** DONE Admin Logins
** DB tuning
*** DONE Autovacuum or schedule? (Autovacuum for now)
*** DONE Buffers/connections high enough? (Think so)
*** TODO Do statistics step after backups
*** DEFR Increase buffering? Not needed yet
** Domain name
*** TODO Do redirects 
    from http(s)://www.bufferbloat.net to https://bufferbloat.net 
    or vice versa 
    Do redirects from http://bufferbloat.net to https://bufferbloat.net
** TODO Firewall
** Schedules
*** database optimization at 4AM

*** Backups
** Markdown format + textile?
** TODO How do you do tags in the wiki (ex: glossary)
** TODO Slashdot/Stress test
   (originate lots of hits from my other servers)
** siwa.bufferbloat.net admin landing page
   mrtg, nagios, health, etc
   Also SSL (don't care about real SSL)
* Random Tasks
** IRC channel
*** TODO irc bot to hold #bufferbloat alive
*** TODO irc commit notifications
** github fork of Linux-wireless
*** irc commit notifications
** NTP interaction with bufferbloat?

Jan 16 06:18:18 siwa dovecot: Fatal: Time just moved backwards by 9 seconds. This might cause a lot of problems, so I'll just kill myself now. http://wiki.dovecot.org/TimeMovedBackwards
** ECN issues
http://icir.org/floyd/ecnProblems.html
** Enabling ecn on osx
*** Normally
Re:
http://icir.org/floyd/ecn.html

MAC OS X:
Leopard 10.5.0 implements ECN, controlled by the variables ""net.inet.tcp.ecn_negotiate_in"" and ""net.inet.tcp.ecn_initiate_out"". Reported by Rui Paulo, 2007. 

*** For tunnels

   ECN friendly behavior
     gif can be configured to be ECN friendly, as described in draft-ietf-ipsec-ecn-02.txt.  This is turned
     off by default, and can be turned on by IFF_LINK1 interface flag.

     Without IFF_LINK1, gif will show a normal behavior, like described in RFC2893.  This can be summarized
     as follows:

           Ingress  Set outer TOS bit to 0.

           Egress   Drop outer TOS bit.

     With IFF_LINK1, gif will copy ECN bits (0x02 and 0x01 on IPv4 TOS byte or IPv6 traffic class byte) on
     egress and ingress, as follows:

           Ingress  Copy TOS bits except for ECN CE (masked with 0xfe) from inner to outer.  Set ECN CE bit
                    to 0.

           Egress   Use inner TOS bits with some change.  If outer ECN CE bit is 1, enable ECN CE bit on the
                    inner.

     Note that the ECN friendly behavior violates RFC2893.  This should be used in mutual agreement with the
     peer.

** DONE have gnugol use global keys
*** Also installed on shipka
** Apt repo(s) for debian/ubuntu
*** bufferbloat-tests
*** bufferbloat-finder
*** bufferbloat-homegw

*** bufferbloat-desktop
*** bufferbloat-server
*** bufferbloat-experimental
** RPM repos
* Personal
** Join #redmine
** Bugreport problem with postgres9 repo
** Pick up hudson
",Dave Täht,2011-01-24 15:35:26.355911,2011-01-24 15:48:58.359936,Dave Täht,New,High
12,sysadmin,Email & Other Workflow,"Just some grumps

* The email interface does not send from a unique per project email address
 
* The subject line is thus a bit wordy

* The email interface does not wrap text to 80 columns

* The email interface does not authenticate users using gpg. gpg is the one sure means of anti-spam out there.

* Entering new issues (examples: support, abuse, security, snmp alerts) via email appears problematic

* The email interface DOES support some modification of attributes

* The email interface DOES supply sufficient information in it's headers to adequately filter

* The web interface does not support bulk edits/adds of issues

* There does not appear to be a command line interface

* It does not appear there are triggers implemented, so when a project moves from one state to another, (example: from In Development to Test), whatever happens next has to be done manually.

Some of this is just my own ignorance, to be sure, but most of these are features of RT.

I know, I know, one new project at a time.

Grump.",Dave Täht,2011-01-24 09:07:39.220434,2011-01-24 20:46:42.257025,Dave Täht,New,Low
306,cerowrt,Better QoS for the external interface,"I'm planning on incorporating BQL (byte queue limits) into the kernel for cerowrt rc8, as well as implementing 2-3 default aqm/qos schemes.

BQL lets us get away from having overly low TX rings and manage things with bytes in the driver, rather than in the ring. We should also (finally) be able to get away from artificially short txqueuelen with what I describe below... 

The default QoS 'prioritization' scheme as supplied by openwrt simply is not the 'right thing' for modern high bandwidth environments. Also the unholy HFSC + SFQ + RED scheme in it is nearly impossible to understand. So...

By default it will be QFQ (the quick fair queue scheduler) + RED at line rate. This is working really well, at least at 100Mbit line rates. More testing of course, is required, and tuning RED for various line rates (10,100,1000) will also be required. 

The biggest problem is that nobody runs at line rate anymore. So we need a bandwidth test - presently netperf - to be able to run either automatically, or from the gui, to set the upload rate, at the very least. We need to run it twice - once for a brief duration to see what shaping is happening, and once longer - to see what happens,
after things settle down. 

When an upload parameter is generated, we will shape on top of QFQ + RED using CBQ or HTB, with a single set of QFQ qdiscs, most likely with a sub-qdisc of RED, as no better alternative is yet available. My experiments with SFB, for example, have resulted in it overly punishing most flows, not that I'm entirely willing to give up on it.

There will be *no* priorities per se', only fairness between flows. It's my hope to otherwise preserve the properties of the existing configuration gui and configuration files in openwrt. Configuring the default txqueuelen, tx rings, and red right for various bandwidths between 128k and 100Mbit is going to be
really hard...

The third potential shaper is 'bittorrent mode', which would do fairness between machines, rather than flows. Thus far the only way I've figured out how to implement this is with a pre-nat filter per ip filter on the above, and results in de-fqing all flows coming from one machine, which is not good. I think - but am not sure - I might be able to create a  set of filters and hashes that lets you use qfq on a per machine basis and still promote fairness between a limited number of flows on each machine, but haven't got there yet. So you'd get like 32 flows per machine to hash into, and 256 machines with unique buckets to hash against...

and/or a dscp filter would help with the hash buckets. 

It would be nice to have a 'run bandwidth test' thing in the gui that can pull the results out of netperf (which does have a nice csv output mode)

I MAY try to bump up the clock rate to give CBQ something to work with. Regrettably I've been able to lock up CBQ regularly with various prototypes of this setup. Switching to HTB in a very limited mode now....

As these scripts will not be cerowrt specific - but merely require BQL and QFQ - it's my hope that they can be tried on multiple gateway setups, such as the guruplug and/or x86 boxes, etc, to get a feel for the valid ranges. I'd love to see people try BQL and QFQ on desktops - it seems to help a lot on 100Mbit ethernet and a great deal on gigabit....

Also gargoyles's setup should be looked at.

The various and sundry scripts are living in this repository at present: https://github.com/dtaht/deBloat

(although as I write the only working prototypes are the eqfq and eqfq.red scripts in the wip dir)
",Dave Täht,2011-11-24 13:04:57.596461,2011-11-24 13:04:57.596461,Dave Täht,New,Urgent
26,sysadmin,dita plugin,"I'd wanted to patch in the external wiki plugin - which supports graphviz among other tools...

http://www.redmine.org/boards/3/topics/10649

but the code scared me too much.",Dave Täht,2011-01-26 18:29:24.327322,2011-02-01 09:19:06.421328,Dave Täht,New,Low
36,sysadmin,Continuous Build System,"Jenkins (formerly known as hudson) looks good.

How do we get it incorporated into redmine?

What do we do builds on?

",Dave Täht,2011-02-18 07:00:25.533424,2011-02-18 07:08:57.286954,Dave Täht,New,Normal
38,sysadmin,Bloat redmine wiki should be the front page.,"I tried to fix this myself, but I don't know enough about how you have it installed.

In any case, see Eric's page at https://github.com/edavis10/redmine_homepage for details.",Jim Gettys,2011-02-21 14:31:21.859617,2011-02-21 17:26:12.471004,Dave Täht,New,Normal
116,uberwrt,IPv6 ECN support is borked in current kernels,"See 

https://bugzilla.kernel.org/show_bug.cgi?id=34322

for details

This, of course, breaks all ECN aware Qdiscs.",Dave Täht,2011-05-07 12:16:03.494655,2011-07-27 20:17:02.393956,Dave Täht,Closed,Urgent
114,uberwrt,would like a delay sensitive tcp in the kernel,vegas or veno would be useful to test against.,Dave Täht,2011-05-05 23:56:22.461718,2011-06-13 21:40:49.710596,Dave Täht,Closed,Normal
55,uberwrt,Configure build better,"Default to lower TXQUEUELEN
Add radvd
Incorporate other kernel patches
Consider routing rather than bridging
",Dave Täht,2011-04-05 16:01:50.94734,2011-07-27 20:17:02.687554,Dave Täht,Closed,Normal
154,bismark,projectbismark.net,"Can we have projectbismark.net map to here? http://www.bufferbloat.net/projects/bismark/

Thanks!",Nick Feamster,2011-05-16 12:36:23.32433,2011-07-29 08:28:55.549755,Dave Täht,Rejected,Urgent
128,iscwrt,"should be 4, rather than 3 Mac addrs?","two radios
one network port (eth1) for the outside world
another connected to a 4 port bridge.

Yet on boot I only detect 3 mac addrs.",Dave Täht,2011-05-08 20:36:16.771005,2011-07-10 15:04:52.440107,Dave Täht,Closed,Normal
48,bismark,bismark-commits,Neeed a mailing list for the svn commit integrations,Dave Täht,2011-04-04 07:37:43.328945,2011-04-06 04:03:26.582824,Dave Täht,Closed,Normal
129,cerowrt,A general purpose test plan,"And test environment, with automated tests, would be very nice to have.

",Dave Täht,2011-05-09 12:42:43.710459,2011-12-08 11:23:01.09584,Dave Täht,New,Urgent
62,bismark,Create bismark specific openwrt feed,"Also, need to get the feed incorporated into the default build.",Dave Täht,2011-04-06 14:03:23.766222,2011-05-22 06:36:03.151457,Dave Täht,Closed,Immediate
66,bismark,DNSmasq appears to be broken,"By default it is picking up the 127.0.0.1 address on boot, and NOT the dhcp supplied address.

If you manually create the /etc/resolv.conf. KILL -9 the dnsmasq process. Then start it manually with the same command line, it works. ",Dave Täht,2011-04-06 15:44:46.346369,2011-04-07 20:18:27.851341,Dave Täht,Closed,Normal
176,cerowrt,Secure updates are a necessity.,"Home routers are not getting updated properly: they are a security nightmare waiting to happen.

We can do better.

While every router should allow the user to do what they want, most don't ever do security updates, and this is a problem.  So the updates themselves need to be secure, but also automated properly.",Jim Gettys,2011-05-23 09:38:10.397669,2012-04-21 12:42:10.010854,Dave Täht,In Progress,High
84,bismark,openwrt package for SFB?,"As SFB is a leading candidate for a qdisc that can help manage bloat, it would be nice to have it available as a kernel package, along with the acommpanying tc (which also has CHOKe support) A version backported to 2.6.38 is described at:

https://lists.bufferbloat.net/pipermail/bloat/2011-April/000384.html

Regrettably the current wndr build is against 2.6.37.6 

Whenever we move forward to 2.6.38 or can backport to 2.6.37 it would be good to have this under consideration.",Dave Täht,2011-04-12 09:30:44.388889,2011-05-12 18:56:39.231836,Dave Täht,Closed,Normal
81,iscwrt,Do not see radvd (multicast?) announcements on wireless,"Connected via wired I can do a radvdump AND also am automagically assigned a ipv6 address.

Connected via wireless, no assigned ipv6 address, nothing via radvdump

Manually assigning an ipv6 address, I CAN use ndisc6 to discover nearby machines...
but it would be nice to get my routes and ip addr!",Dave Täht,2011-04-12 07:21:53.46512,2012-04-22 16:30:26.011625,Dave Täht,Closed,Normal
148,bismark,babel comes up automatically,Babel interfaces come up automatically. Do we need them?,Srikanth Sundaresan,2011-05-15 17:47:32.475186,2011-05-18 14:17:52.974618,Dave Täht,Closed,Low
149,bismark,Guest interfaces come up automatically,"We don't need the guest interfaces IMO. It makes the interface very complex.
",Srikanth Sundaresan,2011-05-15 17:48:16.832514,2011-05-18 14:19:33.213734,Dave Täht,Closed,Low
142,iscwrt,"iproute2 needs to be updated to ""head"" for sfb support","The upcoming 2.6.39 release of iproute (due in 1wk) has sfb support.

It would be good to backport it into openwrt when released.",Dave Täht,2011-05-12 18:57:57.303018,2011-08-03 07:13:44.348916,Dave Täht,Closed,Normal
447,cerowrt,Dropbear settings luci not apply,"Changes settings to no permit password loggins and root password in luci no make any difference.

For solve need to change init args in xinetd ssh settings.",Alexandre Possebom,2014-09-05 13:02:40.965453,2014-09-05 13:02:40.965453,Dave Täht,New,Normal
45,cerowrt,Worldwide Rollout - Need measurement servers worldwide,"",Dave Täht,2011-04-04 06:57:05.613374,2012-04-21 12:42:02.542772,Dave Täht,New,Normal
91,uberwrt,openwrt package for SFB?,Need to get packaging going for iproute2,Dave Täht,2011-04-16 09:10:48.83528,2011-05-06 00:01:19.306624,Dave Täht,Closed,Normal
133,bismark,ECN is never asserted by RED in qos-scripts,"Although the qdisc claims red is using ECN, tc does not report ECN marking ever being applied, even if I ratchet down the bandwidth well below what is real (10kbit, 100kbit, 5Mbit tested)",Dave Täht,2011-05-10 06:12:07.703608,2011-05-12 18:32:14.558743,Dave Täht,Closed,Normal
119,iscwrt,ipv6calc returns invalid ipv4 info,version .82 and prior blow up on certain kinds of data executing the ipv4 path instead of the ipv6 path,Dave Täht,2011-05-07 22:31:03.303931,2012-04-22 16:30:27.780266,Dave Täht,Closed,Normal
314,cerowrt,Samba/Wins and windows XP and vista issues with wireless and multiple networks,"Co-existence of routed networks in the home, in the case of windows firesharing, is proving to be a pita.",Dave Täht,2011-12-01 10:43:40.963061,2012-08-22 17:38:14.617776,Dave Täht,New,Normal
103,iscwrt,various boot order problems,"the system is not awake enough to set time correctly on boot

among other things.",Dave Täht,2011-05-02 07:25:11.377738,2011-07-10 15:10:31.924942,Dave Täht,Closed,Normal
93,bismark,mountd runs away and eats 100% of CPU,"If you are using an existing build of bismark, 100% of cpu is being eaten by mountd. ",Dave Täht,2011-04-19 07:11:26.148267,2011-05-07 21:39:51.197773,Dave Täht,Closed,Normal
