issue_id,author,created_on,notes
7,Dave Täht,2011-01-25 08:27:00.56651,"As interesting as the smokeping data would be (yea! actual experiments), I'd settle for a backup. You firewalled at the router or the box?

root@shipka:~# traceroute6 backup.bufferbloat.netraceroute to backup.bufferbloat.net (2001:55c:62e5:6320:92fb:a6ff:fe85:d16c) from 2001:4f8:3:36:208:54ff:fedb:40ec, 30 hops max, 16 byte packets
 1  exit.ip6.vlan54.sql1.isc.org (2001:4f8:3:36::1)  2.286 ms  2.148 ms *
 2  int-0-4-0-0.r1.pao1.isc.org (2001:4f8:1b:1::8:1)  3.583 ms  4.509 ms  1.139 ms
 3  be-10-401-cr01.sanjose.ca.ibone.comcast.net (2001:559::fd)  2.287 ms  1.973 ms  1.595 ms
 4  pos-0-14-0-0-cr01.denver.co.ibone.comcast.net (2001:558:0:f560::1)  63.145 ms  62.884 ms  62.994 ms
 5  2001:558:0:f6c2::2 (2001:558:0:f6c2::2)  64.006 ms  63.703 ms  63.746 ms
 6  2001:558:d0:12::1 (2001:558:d0:12::1)  64.717 ms  64.394 ms  64.545 ms
 7  2001:558:d0:b::2 (2001:558:d0:b::2)  66.446 ms  64.831 ms  64.794 ms
 8  2001:558:d0:1e::2 (2001:558:d0:1e::2)  64.537 ms  64.309 ms  64.519 ms

 9  * * *
10  * * *
11  * * *

and not returning NXDOMAIN breaks the internet.

root@shipka:~# traceroute backup.bufferbloat.net
traceroute to backup.bufferbloat.net (149.20.54.81), 30 hops max, 60 byte packets
 1  shipka.bufferbloat.net (149.20.54.81)  0.064 ms  0.016 ms  0.015 ms
root@shipka:~# host backup.bufferbloat.net
backup.bufferbloat.net has IPv6 address 2001:55c:62e5:6320:92fb:a6ff:fe85:d16c

"
7,Jim Gettys,2011-01-25 08:39:38.433323,"Heh.  IIRC, the firmware on the router doesn't firewall IPv6 at all right now; host is all there should be."
7,Dave Täht,2011-01-25 09:08:07.710969,"I have found that comcast's router (I have business class service) turns
off ipv6 (for 2002:) a few minutes after the last outgoing connection.

Sometimes given that encapsulation it seems to be oddly throttled, too.
Been meaning to look into that, can do so now that there TWO people on 
comcast that are using it to communicate.

I turned off the comcast router firewalling features. You appear to be
using a real(ish) IP address, but...

BTW I appreciate that we've been doing IPv6 throughout. With the last
IPv4s about to expire, no common traffic shapers or firewalls doing 
anything with it, and Linux's IPv6 stack sorely undertested for ECN/etc,
it's good to have this turned on.

But sometimes it's a pain in the arse.


-- 
Dave Taht
http://nex-6.taht.net"
14,Dave Täht,2011-01-25 10:26:05.443791,"So I took a little time out to do something fun. I have rbot configured

Still have to have it hold ops on the channel, etc, and test its features

<pre>!google bufferbloat</pre>
<pre>!translate en es hello</pre>

A #7 goes to shipka and pulls the issue status

I would certainly like it to post updates to a bug to the channel as well...

Couple more basic things to configure, then to DEPLOY it will need to move from sysadmin to bloat 
and I can think of a zillion other cool features but that's just too much fun to have right now.

I'll get it to where it holds ""op"" privs and call it a day."
7,Dave Täht,2011-01-25 16:17:52.417675,"Status: Closed

Although performance is poor, we have connectivity, ssh keys, etc."
15,Dave Täht,2011-01-25 16:21:50.853502,"diff --git a/vendor/plugins/redmine_youtube/init.rb b/vendor/plugins/redmine_youtube/init.rb
new file mode 100755
index 0000000..161df2c
--- /dev/null
+++ b/vendor/plugins/redmine_youtube/init.rb
@@ -0,0 +1,26 @@
+#
+# vendor/plugins/redmine_youtube/init.rb
+#
+require 'redmine'
+require 'open-uri'
+
+Redmine::Plugin.register :redmine_gist do
+  name 'Redmine YouTube plugin'
+  author 'Maxime Rousseaux-Bridle <max.rb@xambr.com>'
+  description 'Allows a you tube video to be embeded'
+  version '0.0.1'
+
+  Redmine::WikiFormatting::Macros.register do
+    desc ""Embed a you tube video""
+    macro :youtube do |obj, args|
+        %~
+                <object width=""425"" height=""344"">
+                        <param name=""movie"" value=""http://www.youtube.com/v/#{args[0]}=en&fs=1""></param>
+                        <param name=""allowFullScreen"" value=""true""></param>
+                        <param name=\""allowscriptaccess\"" value=\""always\""></param>
+                        <embed src=""http://www.youtube.com/v/#{args[0]}&hl=en&fs=1"" type=""application/x-shockwave-flash"" allowscriptaccess=""always"" allowfullscreen=""true"" width=""425"" height=""344""></embed>
+        ~
+    end
+
+  end
+end"
15,Dave Täht,2011-01-25 16:24:12.247076,"diff --git a/vendor/plugins/redmine_youtube/init.rb b/vendor/plugins/redmine_youtube/init.rb
new file mode 100755
index 0000000..161df2c
--- /dev/null
+++ b/vendor/plugins/redmine_youtube/init.rb
@@ -0,0 +1,26 @@
+#
+# vendor/plugins/redmine_youtube/init.rb
+#
+require 'redmine'
+require 'open-uri'
+
+Redmine::Plugin.register :redmine_gist do
+  name 'Redmine YouTube plugin'
+  author 'Maxime Rousseaux-Bridle '
+  description 'Allows a you tube video to be embeded'
+  version '0.0.1'
+
+  Redmine::WikiFormatting::Macros.register do
+    desc ""Embed a you tube video""
+    macro :youtube do |obj, args|
+        %~
+                
+                        
+                        
+                         
+        ~
+    end
+
+  end
+end"
15,Dave Täht,2011-01-25 16:26:55.309094,"Attachment: (unnamed)
Attachment: (unnamed)"
15,Dave Täht,2011-01-25 16:27:48.5587,"Meh. Mangles attachments, patches inline, and images attached. Not good. "
11,Dave Täht,2011-01-26 07:30:06.216985,"What I'd wanted was a sql dump, not an xml one... coping with XML is going to take a bit more time."
11,Jim Gettys,2011-01-26 08:50:48.572185,"Sorry; the XMBL is what wordpress.com gives me.  I stopped running my own wordpress after someone pwened my machine some years back; I'd been too busy to keep it updated.
"
2,Dave Täht,2011-01-26 12:26:52.063485,"It is not clear to me what good this does vs a google custom search. On
the other hand, I don't know how to incorporate a google custom search
into redmine, so perhaps this will help. 

I still have to configured omega itself."
20,Dave Täht,2011-01-26 13:01:20.747974,I think I fixed the key leak. But I'm not sure.
22,Dave Täht,2011-01-26 13:01:55.496596,"-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1


So all mails to bufferbloat.net are being vectored through lists now.

- -- 
Dave Taht
http://nex-6.taht.net
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.10 (GNU/Linux)
Comment: Processed by Mailcrypt 3.5.9 <http://mailcrypt.sourceforge.net/>

iQEcBAEBAgAGBQJNQIu8AAoJENt4fAQELrZXiGUIAKVZzolTjIZBskGky+JE8GPx
3t0DH+4fb6jqYi9ToZVLaS4wiVX70cZrBEopXw2bzkQbM3UA9YuR0wl8G7X6epkJ
U60b02uVfrapGxderA8+PkUz/tSGGaPsS8NVhUZscX19qbdtEZbu/iddVAeQs7Cr
2thPqcwKM/cZ4ntBL4kLSjxSW0yMWX6QgSSlRnA8eXf/FCVV+ifaNFVt/SKQo5Gz
UceKFhz2A58O3FDvAXbWkDmPumYRhQBPypILjlzGOlKmiQkp453qLIN1DH+tULBA
RrDulE6MatSfU8R+Oyr4nFzwueUc0z+bJqlgu0QIQhgvolqyZYfWDWtIExUtRuk=
=5aAq
-----END PGP SIGNATURE-----"
20,Dave Täht,2011-01-26 13:05:16.373726,Assignee: d@taht.net
20,Dave Täht,2011-01-26 13:06:22.515382,"-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1


But it won't get past the tracker.

- -- 
Dave Taht
http://nex-6.taht.net
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.10 (GNU/Linux)
Comment: Processed by Mailcrypt 3.5.9 <http://mailcrypt.sourceforge.net/>

iQEcBAEBAgAGBQJNQIzGAAoJENt4fAQELrZXbDcH/3t5VN29Wwa7GW4w5XKts5sF
xX1Z3nUtaG9DflTIuTPRmOawPOl2mDUXrO2YARxXdDW2S+1TmkssIK5Z6BnHHupE
yWlQdgg80rAWVrVRj0nhYMghGFdfxRpkIUr7XEx4D0zkCzh/efsSZ3URxgWKlORY
Ru/72gE7T9t1tE7u+v7HLfORVLYNXZpTzD5HlQq40MQsNG33VN3luIEbG66KaTdz
KwZxtfrBPv9IJVRsehABmJaGRQ68r7fW8EEhb9XOVdVWFMrPeV77zo1TQm4CS57D
/bQC7BUDUBFPf+8TBe/R3opHgFcfkYJQvnF7UC8s6NSAmWV7P7Y2za9HSRjTrWA=
=0PHS
-----END PGP SIGNATURE-----"
22,Dave Täht,2011-01-26 13:06:47.147972,"-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1


You'd think this would just work.

- -- 
Dave Taht
http://nex-6.taht.net
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.10 (GNU/Linux)
Comment: Processed by Mailcrypt 3.5.9 <http://mailcrypt.sourceforge.net/>

iQEcBAEBAgAGBQJNQIzeAAoJENt4fAQELrZX64sH/jbHMza/rr01eWzV6Naqml/F
8hncEqY9VDBzXGAquqE3Mx/H0gpck2pFsZ3/MgSM3bh7bY2EePNYxqCaov0OCRs6
W54ezM3b5IlVs9lEk57YUVXxnItOVOvMLAXqOa/09fSUyFwr0bxbBzNQ/EGmmyi4
MD1UTB6FHoU7SSCvKI9PWyyBKkDc2AGctyaaeqvRBkGN1HkS8wDZqDpPuvxhjWp0
nSdtC/HA9q9aIk20FcA/gySgCYvoViRXRn2hU+gtoYtluSmg81aKvBdNIh9DtRxr
4Dw8xhMn14SwnCW+0kgqGAOyf+5HnByVAYCenacwy3ltfpswqFvh97Ceb/HQqew=
=2uQg
-----END PGP SIGNATURE-----"
20,Dave Täht,2011-01-26 13:08:19.608522,moved the file from aliases to a file....
24,Dave Täht,2011-01-26 14:45:20.784242,"<pre>

<VirtualHost *:80>
	ServerName mirrors.bufferbloat.net
	ServerAdmin webmaster@lists.bufferbloat.net
        DocumentRoot /home/jg/public_html
	<Directory /home/jg/public_html>
	Options Indexes FollowSymLinks MultiViews
        AllowOverride None
	</Directory>
</VirtualHost>

</pre>"
24,Jim Gettys,2011-01-26 14:55:03.414175,"I've added the name server entries.
"
25,Jim Gettys,2011-01-26 15:42:38.347675,"The question, is, move it to whom?  I can certainly move it to dyndns where I have other things.

Their UI isn't so hot either.

I really don't want to become a dns wizard on top of other things too, though now I have the little  atom box where the backup disk is, it isn't as objectionable than the 150W monster I'm trying to get out of the house.
"
25,Dave Täht,2011-01-26 16:31:55.130912,"Anybody that has GeoIP. A gui would be nice. 

I've deferred this problem for further research later, and just had the
servers search one of my own domains for lookups.

Thx for putting up with my venting.

> I really don't want to become a dns wizard on top of other things too,
> though now I have the little atom box where the backup disk is, it
> isn't as objectionable than the 150W monster I'm trying to get out of
> the house.

I LOVE my openrd. 11 watts for the cpu + internal drive, 6 for the disk
(when spun up). Totally silent. $250 + disk.

Slightly more expensive than an atom...

I was very disappointed with the guruplug version - 129 dollars but with
a fan that is 40+db loud."
24,Dave Täht,2011-01-26 16:37:51.459571,"there is a mirrorme script in your home dir on shipka. I've also put your presentation in there, the last copy I saw. 

If you edit/remove/change files in your public_html dir, ~/bin/mirrorme will send it to the two servers

I'm also thinking of setting up a torrent...

Anyway, I'll sleep better knowing the really big stuff is mirrored. Thx. 

I was unable to get ahold of my east coast or australian contact today, so we can close this ticket now. If I get some more mirrors (amazon S3 is cheap), maybe we can change this later or while under load. 

I do admit one ulterior purpose of mine is to get some logs on ipv6 traffic."
11,Dave Täht,2011-01-26 17:29:24.828144,ok I got a reasonable parser pulled together that at least lets me grep. Trying to roll one quickly that pulls out useful urls and surrounding content.
9,Dave Täht,2011-01-26 17:34:37.050795,"I have sysadmin, support, bb (bufferbloat), as aliases that more or less do the right thing."
14,Dave Täht,2011-01-26 17:36:13.923201,Still not getting op privs
13,Dave Täht,2011-01-26 17:38:45.06196,I worked around this some by not searching bufferbloat.net by default.
8,Dave Täht,2011-01-26 17:40:31.217608,"this needs to become an automated, replicate process"
6,Dave Täht,2011-01-26 17:41:48.461355,All the tools I looked at had more overhead than I would like.
2,Dave Täht,2011-01-26 17:43:05.763061,I have to figure out omega. 
3,Dave Täht,2011-01-26 17:44:05.889031,I love it. It does the right thing. 
11,Dave Täht,2011-01-26 17:44:58.361365,""
28,Dave Täht,2011-01-26 21:01:22.783014,The amount of comment spam I saw was unbelievable.
29,Dave Täht,2011-01-26 22:07:50.802191,"And the joy of running static web sites is that I got

~200 req/sec out of mirrors.bufferbloat.net (admittedly going from siwa to my dual pentium III box)

I KNEW there was a reason I made my blog static and eschew all this fancy smancy lamp stack stuff.

Anyway, mirrors can withstand a slashdotting, although I should probably tune up the main box some. 

time ./httping -c 300 -6 -G -f http://mirrors.bufferbloat.net/

And while I'm doing these gross tests I must always caution that they are not real workloads. In particular the time it takes to retire a connection can really hurt a box - so long distance traffic can accumulate 100s of thousands of sockets in a FIN_WAIT state, as one exaample....."
28,Jim Gettys,2011-01-27 08:50:50.974594,"Oops; I should have emptied the spam trap before exporting the blog.

Sorry.

So much fun the spammers like to spam blogs, isn't it?"
31,Dave Täht,2011-01-27 10:37:37.462729,""
27,Dave Täht,2011-01-27 11:10:48.127184,"ActionController::RoutingError (No route matches ""/projects/bloat/wiki/Sandbox/files/110127105646_Attribution_ShareAlike.png"" with {:method=>:get}):
  public/dispatch.fcgi:24

Rendering /home/redmine/redmine/public/404.html (404 Not Found)


Processing ApplicationController#index (for 75.145.127.229 at 2011-01-27 11:08:20) [GET]

ActionController::RoutingError (No route matches ""/projects/bloat/wiki/Sandbox/Attribution_ShareAlike.png"" with {:method=>:get}):
  public/dispatch.fcgi:24

Rendering /home/redmine/redmine/public/404.html (404 Not Found)


Processing ApplicationController#index (for 75.145.127.229 at 2011-01-27 11:08:21) [GET]

ActionController::RoutingError (No route matches ""/files/110127105646_Attribution_ShareAlike.png"" with {:method=>:get}):
  public/dispatch.fcgi:24

Rendering /home/redmine/redmine/public/404.html (404 Not Found)


Processing WikiController#update (for 75.145.127.229 at 2011-01-27 11:08:24) [PUT]
  Parameters: {""commit""=>""Save"", ""project_id""=>""bloat"", ""action""=>""update"", ""_method""=>""put"", ""authenticity_token""=>""eWWR718zHdlNJNk8efImxPdO7s8cTgiiMVgUAFYJ6aQ="", ""id""=>""Sandbox"", ""content""=>{""comments""=>"""", ""text""=>""h1. Sandbox\r\n\r\nCome on let me cache these!\r\n\r\nVia a virtual url\r\n\r\n!attachments/download/11!\r\n\r\nVia files\r\n\r\n!files/110127105646_Attribution_ShareAlike.png!\r\n\r\nDirect\r\n\r\n!Attribution_ShareAlike.png!\r\n\r\nVia a direct url\r\n\r\n!http://www.bufferbloat.net/files/110127105646_Attribution_ShareAlike.png!"", ""version""=>""3""}, ""controller""=>""wiki"", ""attachments""=>{""1""=>{""description""=>""""}}}

ActionView::MissingTemplate (Missing template wiki/update.erb in view path vendor/plugins/redmine_bots_filter/app/views:vendor/plugins/redmine_project_specific_email_sender/app/views:vendor/plugins/redmine_xapian/app/views:app/views):
  app/controllers/application_controller.rb:474:in `default_template'
  public/dispatch.fcgi:24

Rendering /home/redmine/redmine/public/500.html (500 Internal Server Error)

"
31,Dave Täht,2011-01-27 11:33:17.081248,"1) Does the site render properly on safari? Explorer? Old Explorer?

Already tested: Chrome, firefox on ubuntu

Test pages:

http://www.bufferbloat.net/projects/bloat/wiki

http://www.bufferbloat.net/projects/sysadmin/wiki/Sandbox (known error
on this page)

2) How fast does it render? Are there any uncached images/scripts left over?

3) How bad is it on handhelds?

4) Can others reproduce [#27] ?

5) Can a reporter edit a page?

6) There is no rule 6"
31,Brian Clapper,2011-01-27 11:54:25.620137,"* IE 9 on Windows 7 works fine.
* Safari 5.0.3 on Mac OS X (Snow Leopard) works fine."
30,Dave Täht,2011-01-27 13:21:29.170738,"!/images/jigsawfish-small.png!

!/images/jigsawfish2.png!

!/images/Attribution_ShareAlike.png!

Figuring out how relative urls was supposed to work took all my spare time today. There seems to be a minor issue with inline images uploaded.

I put the logos up locally, as per the above links.

(I felt it would work better, given these images are cached and we are using http 1.1, to not send people off the site)

I do not have time for further hacking into the ruby code to get it to tell people to use the license(s) somewhere on entry to the page. I have grepped and not grokked. 

I set aside the time today to go live and monitor/keep the site running under heavy load, and do some writing. 

I have no brain cells left, and I plan to be mostly away from the computer (with just pings to my cell phone) this weekend.

Can we go live *now*? Please?"
30,Dave Täht,2011-01-27 13:46:37.874927,"<pre>
> !/images/jigsawfish-small.png!
> 
> !/images/jigsawfish2.png!
> 
> !/images/Attribution_ShareAlike.png!
</pre>

"
30,Dave Täht,2011-01-27 13:54:27.962521,"<pre> !/images/Attribution_ShareAlike.png!:http://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License</pre>

!/images/Attribution_ShareAlike.png!:http://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License"
31,Dave Täht,2011-02-01 09:13:52.049989,""
15,Dave Täht,2011-02-01 09:18:02.717617,""
26,Dave Täht,2011-02-01 09:19:06.437192,don't know how to change something from a bug to a feature.
32,Dave Täht,2011-02-01 09:20:06.169863,"Kernel build time on my dual core laptop.

real	119m21.629s
user	181m45.500s
sys	21m6.810s
"
32,Jim Gettys,2011-02-01 09:36:19.187732,"hmmm.  I think we might manage an EC2 instance; I don't know how fast those are; I'll ask at work.  I had one up last month, but turned it off, and it may not have been configured healthy enough for convenient builds...
"
